"ID","ID_Pai","ID_Mae","Safra","Sexo","IECC","Selecionado"
"138","0","0","2005","MACHO","125.86","0"
"148","0","0","2005","MACHO","120.77","0"
"15765","0","0","2005","MACHO","93.81","0"
"462302","665848","I152","2007","MACHO","85.13","0"
"665660","0","0","2007","MACHO","78.78","0"
"665847","0","K583","2007","MACHO","73.75","0"
"665848","0","K301","2004","MACHO","72.85","0"
"665887","0","K596","2007","MACHO","71.98","0"
"665889","0","J570","2007","MACHO","70.46","0"
"666018","665848","0","2007","MACHO","68.73","0"
"666134","665848","0","2007","MACHO","68.35","0"
"666193","0","0","2007","MACHO","67.23","0"
"666195","665848","K301","2007","MACHO","65.77","0"
"666196","0","0","2007","MACHO","65.57","0"
"666238","0","0","2007","MACHO","64.73","0"
"666255","665848","K727","2007","MACHO","64.69","0"
"666257","0","I248","2007","MACHO","63.6","0"
"666299","0","0","2007","MACHO","63.55","0"
"666305","0","0","2007","MACHO","62.99","0"
"666311","0","0","2007","MACHO","62.82","0"
"666312","665848","0","2007","MACHO","62","0"
"666327","0","0","2007","MACHO","61.02","0"
"666337","0","K324","2007","MACHO","60.75","0"
"666662","0","0","2007","MACHO","60.55","0"
"666683","0","0","2007","MACHO","60.13","0"
"666754","0","0","2007","MACHO","60.09","0"
"666759","0","K3","2007","MACHO","58.42","0"
"666878","0","0","2007","MACHO","56.91","0"
"735","0","0","2005","MACHO","56.68","0"
"926295","665848","0","2008","MACHO","56.17","0"
"Anamelia","SBrinks","0","2005","FEMEA","55.72","0"
"82546","TresLagoas1964","GAPC738","2012","MACHO","54.92","0"
"CR12","0","K3","2004","FEMEA","54.64","0"
"CR18","0","K3","2004","FEMEA","54.37","0"
"CR21","0","0","2004","FEMEA","52.88","0"
"CR23","0","0","2004","FEMEA","52.36","0"
"91832","Quilpo2104","SBM3276","2013","MACHO","52.15","0"
"121936","TCD3454D","ORIGE3314","2008","MACHO","51.69","0"
"Ebano1778","0","0","1992","FEMEA","51.61","0"
