Anamelia SBrinks 0 
82546 TresLagoas1964 GAPC738 
91832 Quilpo2104 SBM3276 
121936 TCD3454D ORIGE3314 
59734 StaCruz3 OLHOS6779 
Pacote Fenomeno Jandaia 
94530 Elegido9 OLHOS6779 
002L17ANA L54505ANA 036I14ANA 
003L17ANA L54505ANA 032I14ANA 
004L17ANA L54505ANA 228I14ANA 
005L17ANA L54505ANA 248H13ANA 
006L17ANA 136046 108I14ANA 
008L17ANA 136046 458I14ANA 
009L17ANA L54505ANA 120I14ANA 
011L17ANA 136046 076H13ANA 
014L17ANA 110402 362H13ANA 
016L17ANA 136046 300H13ANA 
017L17ANA L54505ANA 164I14ANA 
018L17ANA L54505ANA 150I14ANA 
019L17ANA 136046 070I15ANA 
020L17ANA 106250 158H13ANA 
021L17ANA L54505ANA 262H13ANA 
022L17ANA 136046 174I15ANA 
023L17ANA 106250 B05007ANA 
024L17ANA 136046 426I14ANA 
025L17ANA 106250 K52204ANA 
026L17ANA 136046 030I14ANA 
027L17ANA L54505ANA 124H13ANA 
028L17ANA L54505ANA 224I14ANA 
029L17ANA 136046 114I14ANA 
030L17ANA 136046 370H13ANA 
031L17ANA L54505ANA 372I14ANA 
033L17ANA 106250 K52204ANA 
034L17ANA L54505ANA 364I14ANA 
035L17ANA 136046 026I14ANA 
036L17ANA L54505ANA 144I14ANA 
037L17ANA 136046 462I14ANA 
038L17ANA 106250 B05007ANA 
039L17ANA L54505ANA 292I14ANA 
040L17ANA L54505ANA 214I14ANA 
041L17ANA 106250 E35011ANA 
042L17ANA L54505ANA 012I14ANA 
043L17ANA 136046 432I14ANA 
044L17ANA 106250 E07610ANA 
045L17ANA 106250 E07610ANA 
046L17ANA L54505ANA 094I15ANA 
047L17ANA 106250 B05007ANA 
048L17ANA L54505ANA 346H13ANA 
049L17ANA L54505ANA 270H13ANA 
050L17ANA 136046 075I14ANA 
051L17ANA L54505ANA 308H13ANA 
052L17ANA 136046 416I14ANA 
053L17ANA 136046 296I14ANA 
054L17ANA L54505ANA 128I14ANA 
055L17ANA L54505ANA 174H13ANA 
056L17ANA L54505ANA 116H13ANA 
057L17ANA 106250 158H13ANA 
058L17ANA 136046 496I14ANA 
059L17ANA 106250 K52204ANA 
060L17ANA 136046 170I14ANA 
061L17ANA 136046 446H13ANA 
062L17ANA L54505ANA 404I14ANA 
063L17ANA 136046 092I14ANA 
064L17ANA 136046 046I14ANA 
065L17ANA 136046 028H13ANA 
066L17ANA L54505ANA 482I14ANA 
067L17ANA 136046 056I14ANA 
068L17ANA 106250 E07610ANA 
069L17ANA 136046 540H14ANA 
070L17ANA L54505ANA 240I14ANA 
071L17ANA 106250 114H13ANA 
072L17ANA 136046 006I14ANA 
074L17ANA 106250 K52204ANA 
075L17ANA 136046 498H13ANA 
076L17ANA L54505ANA 022H13ANA 
077L17ANA L54505ANA 350I14ANA 
078L17ANA 136046 074I14ANA 
081L17ANA L54505ANA A18407ANA 
082L17ANA 136046 400I14ANA 
083L17ANA 112822 432G13ANA 
084L17ANA 136046 490I14ANA 
086L17ANA L54505ANA 058H13ANA 
088L17ANA L54505ANA 300I14ANA 
090L17ANA L54505ANA 368I14ANA 
091L17ANA 112822 404G12ANA 
092L17ANA 110369 494I14ANA 
093L17ANA 106250 K52204ANA 
094L17ANA L54505ANA 384I14ANA 
095L17ANA L54505ANA 274F12ANA 
096L17ANA 136046 298H13ANA 
098L17ANA L54505ANA 004I14ANA 
099L17ANA 136629 E35011ANA 
100L17ANA 136046 080I14ANA 
106L17ANA L54505ANA 050F11ANA 
108L17ANA L54505ANA B22608ANA 
109L17ANA 136671 596L401ANA 
110L17ANA 136629 E35011ANA 
111L17ANA 136629 535L1101ANA 
112L17ANA 110369 332H13ANA 
113L17ANA 136629 E05810ANA 
115L17ANA 136629 362H13ANA 
118L17ANA 0 REB337NAANA 
120L17ANA L54505ANA 136F11ANA 
121L17ANA L54505ANA 300F12ANA 
123L17ANA 136629 362H13ANA 
124L17ANA 136629 E35011ANA 
125L17ANA 136671 D29409ANA 
126L17ANA L54505ANA 338G12ANA 
127L17ANA 136629 362H13ANA 
129L17ANA 106250 158H13ANA 
130L17ANA 136671 D29409ANA 
135L17ANA L54505ANA 192G12ANA 
136L17ANA L54505ANA 392G12ANA 
139L17ANA 136629 E07610ANA 
141L17ANA 136671 D29409ANA 
143L17ANA L54505ANA 048F11ANA 
144L17ANA 136629 E07610ANA 
145L17ANA 136671 596L401ANA 
146L17ANA L54505ANA 690G12ANA 
147L17ANA L54505ANA 386G12ANA 
148L17ANA L54505ANA B14407ANA 
149L17ANA 136629 362H13ANA 
150L17ANA 136629 535L1101ANA 
151L17ANA 136629 D30809ANA 
152L17ANA 136629 E35011ANA 
154L17ANA 136629 E07610ANA 
155L17ANA 0 032F11ANA 
159L17ANA 110405 L48206ANA 
160L17ANA 136629 362H13ANA 
161L17ANA L54505ANA E25411ANA 
162L17ANA 136671 D29409ANA 
163L17ANA 0 B02007ANA 
165L17ANA 0 C29609ANA 
166L17ANA 136629 E35011ANA 
168L17ANA L54505ANA 134G12ANA 
169L17ANA 0 638G12ANA 
170L17ANA 136629 E05810ANA 
171L17ANA 0 C25208ANA 
172L17ANA L54505ANA 684G12ANA 
173L17ANA 110402 258F12ANA 
175L17ANA 110405 066G12ANA 
176L17ANA L54505ANA 307F12ANA 
177L17ANA 136046 468I15ANA 
178L17ANA L54505ANA 018G12ANA 
180L17ANA 136629 362H13ANA 
181L17ANA 128475 042I14ANA 
183L17ANA 102201 480I14ANA 
185L17ANA 114431 208I14ANA 
187L17ANA 0 060I14ANA 
188L17ANA L54505ANA 094F11ANA 
189L17ANA 0 484I14ANA 
190L17ANA 136046 250H13ANA 
191L17ANA L54505ANA 456I14ANA 
192L17ANA 0 REB337NAANA 
193L17ANA L54505ANA 100I14ANA 
194L17ANA 110405 100F11ANA 
195L17ANA 102201 198I14ANA 
196L17ANA L54505ANA C03208ANA 
197L17ANA 0 334H13ANA 
198L17ANA 110402 158H13ANA 
199L17ANA 0 126I14ANA 
200L17ANA 110402 100H13ANA 
201L17ANA 112822 628G12ANA 
202L17ANA 110402 JP14809ANA 
203L17ANA 114431 152H13ANA 
